G_S,order,Family,Genus,species,CI,Loght,ANG_GYM,native,Functional_group,LogGeoRangeST,LogGeoRangeCO,LogPSR
Echinacea_pallida,Asterales                       ,Asteraceae                      ,Echinacea       ,pallida                                         ,2.096910013,0.086074953,angio   ,1,HERB    ,6.5112037,5.866484992,0.698970004
Echinacea_purpurea,Asterales                       ,Asteraceae                      ,Echinacea       ,purpurea                                        ,2.793790385,0.086074953,angio   ,1,HERB    ,6.56219287,5.700766891,0.77815125
Ephedra_californica,Ephedrales                      ,Ephedraceae                     ,Ephedra         ,californica                                     ,0.698970004,0.086074953,gymno   ,1,shrub   ,5.601289521,5.308439868,0.477121255
Ephedra_nevadensis,Ephedrales                      ,Ephedraceae                     ,Ephedra         ,nevadensis                                      ,1.230448921,0.182984966,gymno   ,1,shrub   ,6.240078408,5.852987292,0.477121255
Ephedra_trifurca,Ephedrales                      ,Ephedraceae                     ,Ephedra         ,trifurca                                        ,1.204119983,0.660106221,gymno   ,1,shrub   ,6.223078657,5.657584691,0.301029996
Ericameria_bloomeri,Asterales                       ,Asteraceae                      ,Ericameria      ,bloomeri                                        ,0.301029996,-0.038863783,angio   ,1,shrub   ,6.040052915,5.656051375,1
Ericameria_laricifolia,Asterales                       ,Asteraceae                      ,Ericameria      ,laricifolia                                     ,0.698970004,0.086074953,angio   ,1,shrub   ,6.290590286,5.545050583,0.77815125
Ericameria_nauseosa,Asterales                       ,Asteraceae                      ,Ericameria      ,nauseosa                                  ,0.84509804,0.387104949,angio   ,1,shrub   ,6.676837826,6.429722864,1.255272505
Ericameria_parryi,Asterales                       ,Asteraceae                      ,Ericameria      ,parryi                                          ,0,-0.038863783,angio   ,1,shrub   ,6.508909927,6.073934264,0.301029996
Erigeron_annuus,Asterales                       ,Asteraceae                      ,Erigeron        ,annuus                                           ,1.991226076,0.182984966,angio   ,1,HERB    ,6.700750336,6.370601673,1.544068044
Erigeron_corymbosus,Asterales                       ,Asteraceae                      ,Erigeron        ,corymbosus                                      ,0,-0.214955042,angio   ,1,HERB    ,6.16424052,5.751510094,0.602059991
Erigeron_pumilus,Asterales                       ,Asteraceae                      ,Erigeron        ,pumilus                                         ,0,-0.214955042,angio   ,1,HERB    ,6.540790683,6.316116499,1.361727836
