G_S,order,Family,Genus,species,CI,Loght,ANG_GYM,native,Functional_group,LogGeoRangeST,LogGeoRangeCO,LogPSR
Mertensia_virginica,Lamiales                        ,Boraginaceae                    ,Mertensia       ,virginica                                       ,0,-0.214955042,angio   ,1,HERB    ,6.44192945,5.917571055,0.477121255
Mitella_diphylla,Rosales                         ,Saxifragaceae                   ,Mitella         ,diphylla                                        ,0.602059991,-0.214955042,angio   ,1,HERB    ,6.41777244,6.063723916,1
Mitella_diversifolia,Rosales                         ,Saxifragaceae                   ,Mitella         ,diversifolia                                    ,0.301029996,-0.214955042,angio   ,1,HERB    ,5.911428492,4.991362277,0.301029996
Moehringia_lateriflora,Caryophyllales                  ,Caryophyllaceae                 ,Moehringia      ,lateriflora                                     ,0.301029996,-0.515985038,angio   ,1,HERB    ,6.724954068,6.509339477,1.041392685
Moehringia_macrophylla,Caryophyllales                  ,Caryophyllaceae                 ,Moehringia      ,macrophylla                                     ,0,-0.515985038,angio   ,1,HERB    ,6.391728223,5.803743685,0.477121255
Mollugo_verticillata,Caryophyllales                  ,Molluginaceae                   ,Mollugo         ,verticillata                                    ,1.301029996,-0.515985038,angio   ,1,HERB    ,6.867227074,6.494841125,0.77815125
Monarda_fistulosa,Lamiales                        ,Lamiaceae                       ,Monarda         ,fistulosa                                       ,1.579783597,0.182984966,angio   ,1,HERB    ,6.818700513,6.469772499,1.204119983
Morella_californica,Fagales                         ,Myricaceae                      ,Morella         ,californica                                     ,0.477121255,0.961136217,angio   ,1,A-TREE  ,5.911428492,5.224950848,0.954242509
Morella_cerifera,Fagales                         ,Myricaceae                      ,Morella         ,cerifera                                        ,2.012837225,0.961136217,angio   ,1,A-TREE  ,6.308892156,5.913805526,1.73239376
Morella_pensylvanica,Fagales                         ,Myricaceae                      ,Morella         ,pensylvanica                                   ,1.579783597,0.563196208,angio   ,1,shrub   ,5.827071369,5.420022045,0.954242509
Morus_microphylla,Urticales                       ,Moraceae                        ,Morus           ,microphylla                                     ,0.301029996,0.785044958,angio   ,1,shrub   ,6.160744747,5.678795817,0.477121255
Morus_rubra,Urticales                       ,Moraceae                        ,Morus           ,rubra                                           ,1.505149978,1.262166212,angio   ,1,A-TREE  ,6.632435719,6.328023726,1.740362689
Myosotis_macrosperma,Lamiales                        ,Boraginaceae                    ,Myosotis        ,macrosperma                                     ,0,-0.214955042,angio   ,1,HERB    ,6.455588436,5.637976117,0.477121255
Myosotis_verna,Lamiales                        ,Boraginaceae                    ,Myosotis        ,verna                                           ,0.477121255,-0.515985038,angio   ,1,HERB    ,6.791952487,6.145237995,0.602059991
Myrica_gale,Fagales                         ,Myricaceae                      ,Myrica          ,gale                                            ,2.190331698,0.262166212,angio   ,1,shrub   ,6.317737158,6.311582265,1.146128036
Myrica_hartwegii,Fagales                         ,Myricaceae                      ,Myrica          ,hartwegii                                       ,0.301029996,0.262166212,angio   ,1,shrub   ,5.601289413,4.569837836,0
Noccaea_montana,Capparales                      ,Brassicaceae                    ,Noccaea,montana                                        ,1.301029996,-0.515985038,angio   ,1,HERB    ,6.565572521,6.212406255,0.477121255
Nyssa_aquatica,Cornales                        ,Cornaceae                       ,Nyssa           ,aquatica                                        ,1.826074803,1.484014962,angio   ,1,A-TREE  ,6.358120106,5.687771062,1.322219295
Nyssa_sylvatica,Cornales                        ,Cornaceae                       ,Nyssa           ,sylvatica                                       ,2.049218023,1.484014962,angio   ,1,A-TREE  ,6.562829464,6.25081438,1.886490725
Oenothera_biennis,MYTALES                         ,Acanthaceae                     ,Oenothera       ,biennis                                         ,2.303196057,0.182984966,angio   ,1,HERB    ,6.880715865,6.421847595,1.414973348
Oenothera_deltoides,MYTALES                         ,Acanthaceae                     ,Oenothera       ,deltoides                                       ,0.84509804,0.182984966,angio   ,1,HERB    ,6.154556645,5.867510462,0.301029996
Osmorhiza_claytonii,Apiales                         ,Apiaceae                        ,Osmorhiza       ,claytonii                                       ,1.255272505,-0.038863783,angio   ,1,HERB    ,6.525423735,6.22076884,1
Osmorhiza_occidentalis,Apiales                         ,Apiaceae                        ,Osmorhiza       ,occidentalis                                    ,0.602059991,0.086074953,angio   ,1,HERB    ,6.381217169,6.089770364,1
Ostrya_knowltonii,Fagales                         ,Betulaceae                      ,Ostrya          ,knowltonii                                      ,0,0.94641296,angio   ,1,A-TREE  ,6.191229004,5.2824914,0
Ostrya_virginiana,Fagales                         ,Betulaceae                      ,Ostrya          ,virginiana                                      ,1.643452676,1.137227476,angio   ,1,A-TREE  ,6.68283905,6.40736793,1.963787827
Oxydendrum_arboreum,Ericales                        ,Ericaceae                       ,Oxydendrum      ,arboreum                                        ,1.278753601,1.182984966,angio   ,1,A-TREE  ,6.261845099,5.871647228,1.462397998
Penstemon_canescens,Scrophulariales                 ,Scrophulariaceae                ,Penstemon       ,canescens                                       ,0.602059991,-0.214955042,angio   ,1,HERB    ,6.120308536,5.398082164,0.301029996
Penstemon_grandiflorus,Scrophulariales                 ,Scrophulariaceae                ,Penstemon       ,grandiflorus                                    ,1.204119983,0.086074953,angio   ,1,HERB    ,6.566960899,5.676032791,0.698970004
Peraphyllum_ramosissimum,Rosales                         ,Rosaceae                        ,Peraphyllum     ,ramosissimum                                    ,0,0.484014962,angio   ,1,shrub   ,6.28433651,5.748446359,0
Persea_borbonia,Laurales                        ,Lauracea                        ,Persea          ,borbonia                                        ,1.414973348,1.262166212,angio   ,1,A-TREE  ,6.21844827,5.611829169,1.681241237
Persea_palustris,Laurales                        ,Lauracea                        ,Persea          ,palustris                                       ,0.903089987,1.182984966,angio   ,1,A-TREE  ,6.186171129,5.459472578,1.146128036
Phlox_alyssifolia,Ericales                        ,Polemoniaceae                   ,Phlox           ,alyssifolia                                     ,0,-0.515985038,angio   ,1,shrub   ,5.911429823,5.454157486,0.301029996
Phlox_carolina,Ericales                        ,Polemoniaceae                   ,Phlox           ,carolina                                        ,0.477121255,-0.038863783,angio   ,1,HERB    ,6.427888716,5.341068619,0.477121255
Phlox_divaricata,Ericales                        ,Polemoniaceae                   ,Phlox           ,divaricata                                      ,0.84509804,-0.214955042,angio   ,1,shrub   ,6.630127365,6.225350713,1.176091259
Phlox_kelseyi,Ericales                        ,Polemoniaceae                   ,Phlox           ,kelseyi                                         ,0,-1,angio   ,1,shrub   ,6.139786836,5.314305161,0.477121255
Phlox_longifolia,Ericales                        ,Polemoniaceae                   ,Phlox           ,longifolia                                      ,0.602059991,-0.515985038,angio   ,1,shrub   ,6.760915565,6.224464931,1.079181246
Phlox_pilosa,Ericales                        ,Polemoniaceae                   ,Phlox           ,pilosa                                          ,1,-0.214955042,angio   ,1,HERB    ,6.645492065,6.201954257,0.698970004
Phlox_stansburyi,Ericales                        ,Polemoniaceae                   ,Phlox           ,stansburyi                                      ,0.301029996,-0.515985038,angio   ,1,shrub   ,6.335025738,5.671514657,0.477121255
Physalis_heterophylla,SOLANALES                       ,Solanaceae                      ,Physalis        ,heterophylla                                    ,0.77815125,-0.038863783,angio   ,1,HERB    ,6.802050238,6.381902776,0.77815125
Physalis_minima,SOLANALES                       ,Solanaceae                      ,Physalis        ,minima                                          ,1.812913357,-0.515985038,angio   ,1,HERB    ,5.69668369,3.753478055,0.301029996
Picea_engelmannii,Pinales                         ,Pinaceae                        ,Picea           ,engelmannii                                      ,2.650307523,1.484014962,gymno   ,1,G-TREE  ,6.478157691,6.04342311,2.359835482
Picea_glauca,Pinales                         ,Pinaceae                        ,Picea           ,glauca                                          ,3.255995727,1.484014962,gymno   ,1,G-TREE  ,6.429942262,6.344515955,1.986771734
Picea_mariana,Pinales                         ,Pinaceae                        ,Picea           ,mariana                                         ,3.195622944,1.262166212,gymno   ,1,G-TREE  ,6.256751651,6.214359358,1.755874856
Picea_pungens,Pinales                         ,Pinaceae                        ,Picea           ,pungens                                         ,2.127104798,1.484014962,gymno   ,1,G-TREE  ,6.278220486,5.776546822,1.672097858
Picea_rubens,Pinales                         ,Pinaceae                        ,Picea           ,rubens                                          ,2.701567985,1.387104949,gymno   ,1,G-TREE  ,5.922232199,5.50938163,1.959041392
Pinus_albicaulis,Pinales                         ,Pinaceae                        ,Pinus           ,albicaulis                                      ,2.033423755,1.182984966,gymno   ,1,G-TREE  ,6.28548228,5.825129909,1.716003344
Pinus_balfouriana,Pinales                         ,Pinaceae                        ,Pinus           ,balfouriana                                     ,1.204119983,1.182984966,gymno   ,1,G-TREE  ,5.601289413,4.986728718,0.903089987
Pinus_banksiana,Pinales                         ,Pinaceae                        ,Pinus           ,banksiana                                       ,2.998695158,1.329113002,gymno   ,1,G-TREE  ,6.112435104,5.790140223,1.602059991
Pinus_echinata,Pinales                         ,Pinaceae                        ,Pinus           ,echinata                                        ,2.322219295,1.484014962,gymno   ,1,G-TREE  ,6.463586562,5.972498926,1.792391689
Pinus_edulis,Pinales                         ,Pinaceae                        ,Pinus           ,edulis                                          ,2.357934847,1.316523875,gymno   ,1,G-TREE  ,6.455271722,5.934014318,1.505149978
Pinus_flexilis,Pinales                         ,Pinaceae                        ,Pinus           ,flexilis                                        ,1.934498451,1.182984966,gymno   ,1,G-TREE  ,6.532046871,6.113446742,1.431363764
Pinus_lambertiana,Pinales                         ,Pinaceae                        ,Pinus           ,lambertiana                                     ,2.064457989,1.688134945,gymno   ,1,G-TREE  ,5.966686911,5.651814038,1.414973348
Pinus_monophylla,Pinales                         ,Pinaceae                        ,Pinus           ,monophylla                                      ,1.903089987,1.137227476,gymno   ,1,G-TREE  ,6.23151786,5.90704473,1.361727836
Pinus_monticola,Pinales                         ,Pinaceae                        ,Pinus           ,monticola                                       ,2.409933123,1.484014962,gymno   ,1,G-TREE  ,6.276789768,5.755643969,1.568201724
Pinus_pungens,Pinales                         ,Pinaceae                        ,Pinus           ,pungens                                         ,1.934498451,1.086074953,gymno   ,1,G-TREE  ,5.890637553,5.26060496,1.146128036
Pinus_quadrifolia,Pinales                         ,Pinaceae                        ,Pinus           ,quadrifolia                                     ,0.84509804,0.98916494,gymno   ,1,G-TREE  ,5.601289413,4.486232952,0.301029996
Pinus_resinosa,Pinales                         ,Pinaceae                        ,Pinus           ,resinosa                                        ,2.763427994,1.387104949,gymno   ,1,G-TREE  ,6.163054459,5.871884876,1.919078092
Pinus_strobus,Pinales                         ,Pinaceae                        ,Pinus           ,strobus                                         ,2.984527313,1.484014962,gymno   ,1,G-TREE  ,6.355916256,6.077505563,2.195899652
Pinus_taeda,Pinales                         ,Pinaceae                        ,Pinus           ,taeda                                           ,3.385248682,1.484014962,gymno   ,1,G-TREE  ,6.366316248,5.917994299,2.152288344
Pinus_virginiana,Pinales                         ,Pinaceae                        ,Pinus           ,virginiana                                      ,2.152288344,1.262166212,gymno   ,1,G-TREE  ,6.213640909,5.782737102,1.681241237
Platanus_occidentalis,Proteales                       ,Proteaceae                      ,Platanus        ,occidentalis                                    ,2.127104798,1.484014962,angio   ,1,A-TREE  ,6.601447237,6.300931941,2.120573931
Platanus_racemosa,Proteales                       ,Proteaceae                      ,Platanus        ,racemosa                                        ,1.079181246,1.387104949,angio   ,1,A-TREE  ,5.601289413,5.424629984,0.84509804
Podophyllum_peltatum,Ranunculales                    ,Berberidaceae                   ,Podophyllum     ,peltatum                                        ,2.06069784,-0.214955042,angio   ,1,HERB    ,6.623061035,6.295027163,1.278753601
Polygonatum_biflorum,LILIALES                        ,Ruscaceae                       ,Polygonatum     ,biflorum                                        ,0.477121255,0.182984966,angio   ,1,HERB    ,6.740441219,6.346228314,1.079181246
Polygonatum_pubescens,LILIALES                        ,Ruscaceae                       ,Polygonatum     ,pubescens                                       ,0.602059991,0.086074953,angio   ,1,HERB    ,6.32962463,6.093130444,0.301029996
Polygonum_amphibium,Polygonales                     ,Polygonaceae                    ,Polygonum       ,amphibium                                       ,1.643452676,0.182984966,angio   ,1,HERB    ,6.854903705,6.602871788,1.079181246
Polygonum_bistortoides,Polygonales                     ,Polygonaceae                    ,Polygonum       ,bistortoides                                    ,0.698970004,-0.214955042,angio   ,1,HERB    ,6.478157691,6.264167447,1.079181246
Populus_angustifolia,Salicales                       ,Salicaceae                      ,Populus         ,angustifolia                                    ,2.164352856,1.262166212,angio   ,1,A-TREE  ,6.590877987,6.198170615,1.643452676
Populus_balsamifera,Salicales                       ,Salicaceae                      ,Populus         ,balsamifera                                     ,2.421603927,1.329113002,angio   ,1,A-TREE  ,6.697275648,6.621549982,1.748188027
Populus_deltoides,Salicales                       ,Salicaceae                      ,Populus         ,deltoides                                       ,3.095169351,1.484014962,angio   ,1,A-TREE  ,6.797116308,6.552944916,1.929418926
Populus_fremontii,Salicales                       ,Salicaceae                      ,Populus         ,fremontii                                       ,2.243038049,1.438257471,angio   ,1,A-TREE  ,6.385319419,6.043729419,1.491361694
Populus_grandidentata,Salicales                       ,Salicaceae                      ,Populus         ,grandidentata                                   ,2.133538908,1.262166212,angio   ,1,A-TREE  ,6.354830746,6.087197405,1.491361694
Populus_heterophylla,Salicales                       ,Salicaceae                      ,Populus         ,heterophylla                                    ,1.230448921,1.387104949,angio   ,1,A-TREE  ,6.352626892,5.597028405,0.698970004
Populus_tremuloides,Salicales                       ,Salicaceae                      ,Populus         ,tremuloides                                     ,3.306210508,1.329113002,angio   ,1,A-TREE  ,6.844395771,6.682138745,2.471291711
Portulaca_oleracea,Polygonales                     ,Portulacaceae                   ,Portulaca       ,oleracea                                        ,2.558708571,-0.214955042,angio   ,1,HERB    ,6.879455524,6.549216743,1.146128036
Potentilla_canadensis,Rosales                         ,Rosaceae                        ,Potentilla      ,canadensis                                      ,1.113943352,-0.515985038,angio   ,1,HERB    ,6.421585814,5.867188161,1.146128036
Potentilla_villosa,Rosales                         ,Rosaceae                        ,Potentilla      ,villosa                                         ,0,-0.515985038,angio   ,1,HERB    ,6.059296891,6.239529635,0.301029996
Pseudotsuga_macrocarpa,Pinales                         ,Pinaceae                        ,Pseudotsuga     ,macrocarpa                                      ,1.041392685,1.387104949,gymno   ,1,G-TREE  ,5.601289413,5.127568586,0.698970004
Pseudotsuga_menziesii,Pinales                         ,Pinaceae                        ,Pseudotsuga     ,menziesii                                       ,3.407390904,1.785044958,gymno   ,1,G-TREE  ,6.602318407,6.235168845,2.63447727
Pycnanthemum_virginianum,Lamiales                        ,Lamiaceae                       ,Pycnanthemum    ,virginianum                                     ,0.477121255,-0.038863783,angio   ,1,HERB    ,6.552882038,6.003376368,0.84509804
Quercus_alba,Fagales                         ,Fagaceae                        ,Quercus         ,alba                                            ,2.854913022,1.484014962,angio   ,1,A-TREE  ,6.623061035,6.354329764,2.356025857
Quercus_arizonica,Fagales                         ,Fagaceae                        ,Quercus         ,arizonica                                       ,1.176091259,1.262166212,angio   ,1,A-TREE  ,6.104522072,5.166644086,1.792391689
Quercus_bicolor,Fagales                         ,Fagaceae                        ,Quercus         ,bicolor                                         ,1.643452676,1.329113002,angio   ,1,A-TREE  ,6.360620182,5.949952934,1.397940009
Quercus_coccinea,Fagales                         ,Fagaceae                        ,Quercus         ,coccinea                                        ,1.819543936,1.387104949,angio   ,1,A-TREE  ,6.370876805,5.979114467,1.832508913
Quercus_douglasii,Fagales                         ,Fagaceae                        ,Quercus         ,douglasii                                       ,2.187520721,1.262166212,angio   ,1,A-TREE  ,5.601289413,5.366940105,1.041392685
Quercus_ellipsoidalis,Fagales                         ,Fagaceae                        ,Quercus         ,ellipsoidalis                                   ,1.698970004,1.329113002,angio   ,1,A-TREE  ,6.121665828,5.488177998,1.146128036
Quercus_engelmannii,Fagales                         ,Fagaceae                        ,Quercus         ,engelmannii                                     ,1,1.262166212,angio   ,1,A-TREE  ,5.601289413,4.657053673,0.602059991
Quercus_falcata,Fagales                         ,Fagaceae                        ,Quercus         ,falcata                                         ,1.755874856,1.387104949,angio   ,1,A-TREE  ,6.461090828,6.042279093,1.755874856
Quercus_garryana,Fagales                         ,Fagaceae                        ,Quercus         ,garryana                                        ,1.86332286,1.329113002,angio   ,1,A-TREE  ,5.911428492,5.61644036,2.012837225
Quercus_imbricaria,Fagales                         ,Fagaceae                        ,Quercus         ,imbricaria                                      ,0.477121255,1.262166212,angio   ,1,A-TREE  ,6.418192008,5.906036444,1.301029996
Quercus_laurifolia,Fagales                         ,Fagaceae                        ,Quercus         ,laurifolia                                      ,1.361727836,1.387104949,angio   ,1,A-TREE  ,6.277563812,5.797015355,1.770852012
Quercus_lobata,Fagales                         ,Fagaceae                        ,Quercus         ,lobata                                          ,1.819543936,1.484014962,angio   ,1,A-TREE  ,5.601289413,5.391059729,1.113943352
Quercus_lyrata,Fagales                         ,Fagaceae                        ,Quercus         ,lyrata                                          ,1.414973348,1.387104949,angio   ,1,A-TREE  ,6.413741363,5.845614376,1.397940009
Quercus_macrocarpa,Fagales                         ,Fagaceae                        ,Quercus         ,macrocarpa                                      ,2.209515015,1.387104949,angio   ,1,A-TREE  ,6.700070622,6.289353038,1.819543936
Quercus_marilandica,Fagales                         ,Fagaceae                        ,Quercus         ,marilandica                                     ,1.579783597,1.182984966,angio   ,1,A-TREE  ,6.551632034,6.167696697,1.51851394
Quercus_muehlenbergii,Fagales                         ,Fagaceae                        ,Quercus         ,muehlenbergii                                    ,1.176091259,1.387104949,angio   ,1,A-TREE  ,6.578625791,6.145116626,1.041392685
Quercus_nigra,Fagales                         ,Fagaceae                        ,Quercus         ,nigra                                           ,2.419955748,1.484014962,angio   ,1,A-TREE  ,6.398080298,6.028958199,2.123851641
Quercus_palustris,Fagales                         ,Fagaceae                        ,Quercus         ,palustris                                       ,2.123851641,1.438257471,angio   ,1,A-TREE  ,6.462029605,5.979065721,1.653212514
Quercus_phellos,Fagales                         ,Fagaceae                        ,Quercus         ,phellos                                         ,1.556302501,1.387104949,angio   ,1,A-TREE  ,6.439940013,5.964982236,1.755874856
Quercus_prinoides,Fagales                         ,Fagaceae                        ,Quercus         ,prinoides                                       ,0.602059991,0.881954971,angio   ,1,A-TREE  ,6.457990063,5.654965807,1
Quercus_prinus,Fagales                         ,Fagaceae                        ,Quercus         ,prinus                                          ,2.178976947,1.387104949,angio   ,1,A-TREE  ,6.303576298,5.916363462,1.892094603
Quercus_pumila,Fagales                         ,Fagaceae                        ,Quercus         ,pumila                                          ,1.041392685,-0.038863783,angio   ,1,shrub   ,5.86824875,5.296699175,0.77815125
Quercus_rubra,Fagales                         ,Fagaceae                        ,Quercus         ,rubra                                           ,3.024485668,1.438257471,angio   ,1,A-TREE  ,6.412814962,6.341992742,2.127104798
Quercus_sadleriana,Fagales                         ,Fagaceae                        ,Quercus         ,sadleriana                                      ,0,0.182984966,angio   ,1,shrub   ,5.80959917,4.985090077,0.77815125
Quercus_stellata,Fagales                         ,Fagaceae                        ,Quercus         ,stellata                                        ,1.929418926,1.329113002,angio   ,1,A-TREE  ,6.529869727,6.199610653,1.954242509
Quercus_vacciniifolia,Fagales                         ,Fagaceae                        ,Quercus         ,vacciniifolia                                   ,0,0.262166212,angio   ,1,shrub   ,5.966686911,5.354278334,0.698970004
Quercus_velutina,Fagales                         ,Fagaceae                        ,Quercus         ,velutina                                        ,2.214843848,1.387104949,angio   ,1,A-TREE  ,6.623061035,6.280401453,1.982271233
Quercus_virginiana,Fagales                         ,Fagaceae                        ,Quercus         ,virginiana                                      ,2.245512668,1.182984966,angio   ,1,A-TREE  ,6.209977667,5.691442246,1.903089987
Quercus_wislizeni,Fagales                         ,Fagaceae                        ,Quercus         ,wislizeni                                       ,0.903089987,1.329113002,angio   ,1,A-TREE  ,5.601289413,5.552055118,1
Ratibida_columnifera,Asterales                       ,Asteraceae                      ,Ratibida        ,columnifera                                     ,1.113943352,-0.038863783,angio   ,1,HERB    ,6.786624962,6.40398465,1.041392685
Ratibida_pinnata,Asterales                       ,Asteraceae                      ,Ratibida        ,pinnata                                         ,1.041392685,0.086074953,angio   ,1,HERB    ,6.537642056,5.979391403,1
Rhamnus_alnifolia,Rosales                         ,Rhamnaceae                      ,Rhamnus         ,alnifolia                                       ,0.84509804,-0.038863783,angio   ,1,shrub   ,6.600774523,6.032761722,0.77815125
Rhamnus_lanceolata,Rosales                         ,Rhamnaceae                      ,Rhamnus         ,lanceolata                                      ,0.602059991,0.785044958,angio   ,1,shrub   ,6.511780976,5.699717591,0.602059991
Rhododendron_calendulaceum,Ericales                        ,Ericaceae                       ,Rhododendron    ,calendulaceum                                   ,1.041392685,0.563196208,angio   ,1,shrub   ,6.091022916,5.300704736,0.698970004
Rhododendron_carolinianum,Ericales                        ,Ericaceae                       ,Rhododendron    ,carolinianum                                    ,0.477121255,0.262166212,angio   ,1,shrub   ,5.494613979,4.879316126,1.230448921
Rhus_aromatica,Sapindales                      ,Anacardiaceae                   ,Rhus            ,aromatica                                       ,1.447158031,0.484014962,angio   ,1,shrub   ,6.634826208,6.102975153,1.322219295
Rhus_copallinum,Sapindales                      ,Anacardiaceae                   ,Rhus            ,copallinum                                    ,1.230448921,0.881954971,angio   ,1,A-TREE  ,6.601447237,6.303229186,1.755874856
Rhus_glabra,Sapindales                      ,Anacardiaceae                   ,Rhus            ,glabra                                          ,1.62324929,0.563196208,angio   ,1,shrub   ,6.879455524,6.522379696,1.72427587
Rhus_integrifolia,Sapindales                      ,Anacardiaceae                   ,Rhus            ,integrifolia                                    ,0.477121255,0.387104949,angio   ,1,shrub   ,5.601289413,5.11503262,0.903089987
Rhus_ovata,Sapindales                      ,Anacardiaceae                   ,Rhus            ,ovata                                           ,0.84509804,0.563196208,angio   ,1,shrub   ,5.838984016,5.462917136,0.477121255
Rhus_typhina,Sapindales                      ,Anacardiaceae                   ,Rhus            ,typhina                                         ,1.707570176,0.961136217,angio   ,1,A-TREE  ,6.501966606,6.054896589,1.72427587
Rhus_virens,Sapindales                      ,Anacardiaceae                   ,Rhus            ,virens                                          ,0.77815125,0.563196208,angio   ,1,shrub   ,6.104522072,5.322725792,0.602059991
Ribes_acerifolium,Saxifragales                    ,Grossulariaceae/Saxifragaceae   ,Ribes           ,acerifolium                                     ,0,0.182984966,angio   ,1,shrub   ,5.822695192,5.178832068,0.301029996
Ribes_aureum,Saxifragales                    ,Grossulariaceae/Saxifragaceae   ,Ribes           ,aureum                                          ,1.041392685,0.484014962,angio   ,1,shrub   ,6.842775338,6.46243733,1.342422681
Ribes_cruentum,Saxifragales                    ,Grossulariaceae/Saxifragaceae   ,Ribes           ,cruentum                                        ,0,0.262166212,angio   ,1,shrub   ,5.80959917,5.165901836,0.477121255
Ribes_cynosbati,Saxifragales                    ,Grossulariaceae/Saxifragaceae   ,Ribes           ,cynosbati                                       ,0.477121255,0.182984966,angio   ,1,shrub   ,6.42771892,6.088792519,1.079181246
Robinia_hispida,Fabales                         ,Fabaceae                        ,Robinia         ,hispida                                         ,0.698970004,0.387104949,angio   ,1,shrub   ,6.712246193,5.864455774,0.698970004
Robinia_pseudoacacia,Fabales                         ,Fabaceae                        ,Robinia         ,pseudoacacia                                    ,2.788168371,1.387104949,angio   ,1,A-TREE  ,6.86245029,6.484870505,2.012837225
Rumex_altissimus,Polygonales                     ,Polygonaceae                    ,Rumex           ,altissimus                                      ,0.301029996,-0.038863783,angio   ,1,HERB    ,6.709388511,6.257943772,0.84509804
Rumex_verticillatus,Polygonales                     ,Polygonaceae                    ,Rumex           ,verticillatus                                   ,0.602059991,-0.038863783,angio   ,1,HERB    ,6.644060954,6.02777512,0.477121255
Salicornia_depressa,Caryophllales                   ,Amaranthaceae                   ,Salicornia      ,depressa                                      ,2.012837225,-0.515985038,angio   ,1,HERB    ,6.504649736,5.619464692,0.903089987
Salicornia_rubra,Caryophllales                   ,Amaranthaceae                   ,Salicornia      ,rubra                                           ,1.041392685,-0.515985038,angio   ,1,HERB    ,6.653824438,5.752249137,0.602059991
Salix_amygdaloides,Salicales                       ,Salicaceae                      ,Salix           ,amygdaloides                                    ,1.255272505,1.262166212,angio   ,1,A-TREE  ,6.757049526,6.404290022,1.079181246
Salix_exigua,Salicales                       ,Salicaceae                      ,Salix           ,exigua                                          ,1.86332286,0.484014962,angio   ,1,shrub   ,6.565572497,6.457643188,1
Salix_herbacea,Salicales                       ,Salicaceae                      ,Salix           ,herbacea                                        ,1.799340549,-1.22184875,angio   ,1,shrub   ,5.349443247,4.407851586,0.477121255
Salix_lasiolepis,Salicales                       ,Salicaceae                      ,Salix           ,lasiolepis                                      ,1.612783857,0.961136217,angio   ,1,A-TREE  ,6.445745349,6.145496721,1.380211242
Salix_nigra,Salicales                       ,Salicaceae                      ,Salix           ,nigra                                           ,2.271841607,1.484014962,angio   ,1,A-TREE  ,6.623061035,6.437116938,1.913813852
Salvia_azurea,Lamiales                        ,Lamiaceae                       ,Salvia          ,azurea                                          ,0.77815125,0.182984966,angio   ,1,HERB    ,6.632796072,5.986482428,0.602059991
Salvia_coccinea,Lamiales                        ,Lamiaceae                       ,Salvia          ,coccinea                                        ,1.278753601,-0.038863783,angio   ,1,HERB    ,6.176229459,5.447508414,0.301029996
Sambucus_nigra,DIPSACALES                      ,Adoxaceae                       ,Sambucus        ,nigra                                           ,2.854913022,0.961136217,angio   ,1,A-TREE  ,6.879455501,6.703106185,1.857332496
Sambucus_racemosa,DIPSACALES                      ,Adoxaceae                       ,Sambucus        ,racemosa                                        ,1.662757832,0.785044958,angio   ,1,shrub   ,6.802334435,6.48009537,1.653212514
Sanicula_canadensis,Apiales                         ,Apiaceae                        ,Sanicula        ,canadensis                                      ,0.698970004,-0.038863783,angio   ,1,HERB    ,6.659160336,6.33186041,0.77815125
Sanicula_marilandica,Apiales                         ,Apiaceae                        ,Sanicula        ,marilandica                                     ,0,0.182984966,angio   ,1,HERB    ,6.71342384,6.247136944,0.77815125
Sapindus_saponaria,Sapindales                      ,Sapindaceae                     ,Sapindus        ,saponaria                                       ,1.707570176,0.881954971,angio   ,1,A-TREE  ,6.459495168,5.991421181,1.079181246
Sarcocornia_perennis,Caryophllales                   ,Amaranthaceae                   ,Sarcocornia     ,perennis                                        ,1.556302501,-0.515985038,angio   ,1,HERB    ,6.103189838,5.063402284,0.477121255
Sassafras_albidum,Laurales                        ,Lauracea                        ,Sassafras       ,albidum                                         ,1.857332496,1.262166212,angio   ,1,A-TREE  ,6.579503798,6.29350562,1.770852012
Scrophularia_californica,Scrophulariales                 ,Scrophulariaceae                ,Scrophularia    ,californica                                     ,0,0.086074953,angio   ,1,HERB    ,5.601289521,5.566262475,0.903089987
Scrophularia_marilandica,Scrophulariales                 ,Scrophulariaceae                ,Scrophularia    ,marilandica                                     ,0.602059991,0.484014962,angio   ,1,HERB    ,6.642709664,6.128262561,0.698970004
Shepherdia_argentea,Rhamnales                       ,Elaeagnaceae                    ,Shepherdia      ,argentea                                        ,1.230448921,0.739287467,angio   ,1,shrub   ,6.640098055,6.158835979,1.113943352
Shepherdia_canadensis,Rhamnales                       ,Elaeagnaceae                    ,Shepherdia      ,canadensis                                      ,1.462397998,0.262166212,angio   ,1,shrub   ,6.720167294,6.229213745,1.041392685
Sida_acuta,Malvales                        ,Malvaceae                       ,Sida            ,acuta                                           ,1.812913357,0.086074953,angio   ,1,HERB    ,6.184512453,5.237509608,0.84509804
Sida_spinosa,Malvales                        ,Malvaceae                       ,Sida            ,spinosa                                         ,1.963787827,-0.038863783,angio   ,1,HERB    ,6.611700138,6.148121625,1.041392685
Silene_acaulis,Caryophyllales                  ,Caryophyllaceae                 ,Silene          ,acaulis                                         ,1.963787827,-0.515985038,angio   ,1,HERB    ,6.536640206,5.817951679,0.602059991
Silene_douglasii,Caryophyllales                  ,Caryophyllaceae                 ,Silene          ,douglasii                                       ,1.041392685,-0.214955042,angio   ,1,HERB    ,6.276789768,5.994707415,0.954242509
Solanum_carolinense,SOLANALES                       ,Solanaceae                      ,Solanum         ,carolinense                                     ,2.127104798,-0.214955042,angio   ,1,HERB    ,6.791455702,6.369685219,1.176091259
